,name,url,score,description,city,latitude,longitude
106,Gare - Polygone Scientifique - Palais de Justice,https://www.booking.com/hotel/fr/gare-polygone-scientifique-palais-de-justice.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,9.1,"Located in Grenoble, 300 metres from Grenoble Train Station and 400 metres from WTC Grenoble, Gare - Polygone Scientifique - Palais de Justice offers a garden and air conditioning. ",Grenoble,45.190302,5.7115276
107,"Place de Metz, Hyper-centre Grenoble, Studio 25 m2",https://www.booking.com/hotel/fr/place-de-metz-victor-hugo-a-3-min-studio-25-m2.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,9.4,"Offering city views, Place de Metz, Hyper-centre Grenoble, Studio 25 m2 is an accommodation located in Grenoble, 1.8 km from WTC Grenoble and 4.9 km from AlpExpo. ",Grenoble,45.187456,5.7300631
108,La Bulle du Téléphérique,https://www.booking.com/hotel/fr/la-bulle-du-telepherique.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,9.8,"La Bulle du Téléphérique is a recently renovated apartment in the centre of Grenoble, 800 metres from Grenoble Train Station and 1.1 km from WTC Grenoble. ",Grenoble,45.1925226,5.7234609
109,Studio rénové proche palais des sports,https://www.booking.com/hotel/fr/t2-rue-claude-genin-grenoble.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,7.3,"Featuring garden views, Studio rénové proche palais des sports features accommodation with a patio, around 3.3 km from Grenoble Train Station. ",Grenoble,45.1815622,5.7442818
110,The Babel Community Hôtel - Grenoble Bastille,https://www.booking.com/hotel/fr/apt-paisible-en-centre-ville-parking-salle-de-sport-bar-en-rooftop.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,8.6,"Situated conveniently in Grenoble, The Babel Community Hôtel - Grenoble Bastille offers a buffet breakfast and free WiFi. ",Grenoble,45.19581084,5.72544678
111,"joli 2 pieces en centre ville , gare à 50 mètres",https://www.booking.com/hotel/fr/jolie-2-pieces-en-centre-ville-gare-a-50-metres.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from=searchresults,8.0,"Joli 2 pieces en centre ville, gare à 50 mètres is set in Grenoble, 600 metres from WTC Grenoble, 5.5 km from AlpExpo, and 2.4 km from Alps Stadium. ",Grenoble,45.1901518,5.7163125
112,1924 Hôtel,https://www.booking.com/hotel/fr/royal-grenoble.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCD3NlYXJjaF9ncmVub2JsZUgzWARoTYgBAZgBCbgBCsgBBdgBAegBAfgBA4gCAagCA7gCns3QuAbAAgHSAiQxNmQyOGFjNS0wM2RjLTQxOTQtOGQ2MS03YjNiNmNlNzhjNmTYAgXgAgE&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=7d20980ff93a001d&srepoch=1729373855&from_sustainable_property_sr=1&from=searchresults,8.6,"Located in the heart of Grenoble on a quiet street, only 450 metres from the SNCF train station and offers free WiFi, service clean, comfortable rooms with modern facilities and a friendly, relaxed...",Grenoble,45.18928483,5.71861982
113,Maison l'Etrier,https://www.booking.com/hotel/fr/l-39-etrier.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9zYWludGVzIG1hcmllcyBkZSBsYSBtZXJIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Ap3N0LgGwAIB0gIkYzRkZWYxMGYtYjg1Ni00ZjQ2LWEwYjYtMzYzMjI5MjZjNDFi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=8fa5980ed7040423&srepoch=1729373854&from=searchresults,9.2,"Set in Saintes-Maries-de-la-Mer and only 2.7 km from Arenas Beach, Maison l'Etrier offers accommodation with lake views, free WiFi and free private parking. ",Saintes Maries de la mer,43.467296,4.413867
114,Maison au bord de mer,https://www.booking.com/hotel/fr/maison-au-bord-de-mer-saintes-maries-de-la-mer.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9zYWludGVzIG1hcmllcyBkZSBsYSBtZXJIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Ap3N0LgGwAIB0gIkYzRkZWYxMGYtYjg1Ni00ZjQ2LWEwYjYtMzYzMjI5MjZjNDFi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=8fa5980ed7040423&srepoch=1729373854&from=searchresults,9.6,"Featuring air-conditioned accommodation with a patio, Maison au bord de mer is located in Saintes-Maries-de-la-Mer. ",Saintes Maries de la mer,43.45015609,4.42718344
115,Le Maset en Camargue,https://www.booking.com/hotel/fr/mazet-de-la-grenouilla-re.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9zYWludGVzIG1hcmllcyBkZSBsYSBtZXJIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Ap3N0LgGwAIB0gIkYzRkZWYxMGYtYjg1Ni00ZjQ2LWEwYjYtMzYzMjI5MjZjNDFi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=8fa5980ed7040423&srepoch=1729373854&from=searchresults,8.9,"Located just 400 metres from the sandy beach in Saintes-Maries-de-La-Mer, Le Maset en Camargue is an air-conditioned hotel offering a swimming pool surrounded by sun loungers. ",Saintes Maries de la mer,43.45656073,4.42670293
116,Appartement Duplex 4pers Climatisé - Locations VLD Camargue,https://www.booking.com/hotel/fr/appartement-duplex-4pers-climatise.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9zYWludGVzIG1hcmllcyBkZSBsYSBtZXJIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Ap3N0LgGwAIB0gIkYzRkZWYxMGYtYjg1Ni00ZjQ2LWEwYjYtMzYzMjI5MjZjNDFi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=8fa5980ed7040423&srepoch=1729373854&from=searchresults,9.0,"Appartement Duplex 4pers Climatisé - Locations VLD Camargue, boasting a terrace, is set in Saintes-Maries-de-la-Mer, 1.1 km from Est Beach and 39 km from Arles Amphitheatre. ",Saintes Maries de la mer,43.4560081,4.4293162
117,Le Dauphin Bleu,https://www.booking.com/hotel/fr/le-dauphin-bleu.en-gb.html?aid=304142&label=gen173nr-1FCAQoggJCH3NlYXJjaF9zYWludGVzIG1hcmllcyBkZSBsYSBtZXJIM1gEaE2IAQGYAQm4AQrIAQXYAQHoAQH4AQOIAgGoAgO4Ap3N0LgGwAIB0gIkYzRkZWYxMGYtYjg1Ni00ZjQ2LWEwYjYtMzYzMjI5MjZjNDFi2AIF4AIB&ucfs=1&arphpl=1&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=8fa5980ed7040423&srepoch=1729373854&from=searchresults,8.4,"Located 50 metres from the beach, Le Dauphin Bleu faces the Mediterranean Sea and is 400 metres from the centre of Saintes-Maries-de-la-Mer's historic old town. ",Saintes Maries de la mer,43.45233086,4.43364993
